Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Price Spot EUR/MWh EPEX H Actual;FR Price Spot Day-Ahead EUR/MWh H Backcast
2025-01-01 00:00;+01:00;22.59;40.92
2025-01-02 00:00;+01:00;107.69;107.55
2025-01-03 00:00;+01:00;115.69;121.46
2025-01-04 00:00;+01:00;121.74;121.48
2025-01-05 00:00;+01:00;47.95;56.8
2025-01-06 00:00;+01:00;35.44;58.12
2025-01-07 00:00;+01:00;74.26;87.75
2025-01-08 00:00;+01:00;104.33;105.69
2025-01-09 00:00;+01:00;85.62;94.04
2025-01-10 00:00;+01:00;112.96;115.26
2025-01-11 00:00;+01:00;106.69;117.3
2025-01-12 00:00;+01:00;108.26;109.9
2025-01-13 00:00;+01:00;125.25;138.01
2025-01-14 00:00;+01:00;136.72;143.05
2025-01-15 00:00;+01:00;160.57;158.57
2025-01-16 00:00;+01:00;139.88;155.13
2025-01-17 00:00;+01:00;142.84;150.94
2025-01-18 00:00;+01:00;131.34;129.89
2025-01-19 00:00;+01:00;127.34;121.08
2025-01-20 00:00;+01:00;196.71;161.43
2025-01-21 00:00;+01:00;159.9;156.32
2025-01-22 00:00;+01:00;146.95;159.54
2025-01-23 00:00;+01:00;110.33;127.52
2025-01-24 00:00;+01:00;78.04;90.57
2025-01-25 00:00;+01:00;61.44;99.78
2025-01-26 00:00;+01:00;38.43;80.12
2025-01-27 00:00;+01:00;28.94;74.81
2025-01-28 00:00;+01:00;30.53;66.73
2025-01-29 00:00;+01:00;72.77;94.36
2025-01-30 00:00;+01:00;107.86;121.53
2025-01-31 00:00;+01:00;131.46;133.47
2025-02-01 00:00;+01:00;130.28;135.52
2025-02-02 00:00;+01:00;132.14;132.3
2025-02-03 00:00;+01:00;150.65;145.03
2025-02-04 00:00;+01:00;141.06;140.48
2025-02-05 00:00;+01:00;145.31;149.14
2025-02-06 00:00;+01:00;142.58;151.55
2025-02-07 00:00;+01:00;129.78;127.76
2025-02-08 00:00;+01:00;123.32;122.37
2025-02-09 00:00;+01:00;133.75;127.13
2025-02-10 00:00;+01:00;144.21;136.72
2025-02-11 00:00;+01:00;141.57;137.46
2025-02-12 00:00;+01:00;154.37;150.93
2025-02-13 00:00;+01:00;150.63;160.88
2025-02-14 00:00;+01:00;147.95;155.46
2025-02-15 00:00;+01:00;121.08;133.08
2025-02-16 00:00;+01:00;125.3;119.64
2025-02-17 00:00;+01:00;144.88;146.51
2025-02-18 00:00;+01:00;130.18;136.49
2025-02-19 00:00;+01:00;117.31;121.67
2025-02-20 00:00;+01:00;99.49;105.07
2025-02-21 00:00;+01:00;63.9;82.7
2025-02-22 00:00;+01:00;75.15;84.33
2025-02-23 00:00;+01:00;70.3;78.03
2025-02-24 00:00;+01:00;86.75;90.9
2025-02-25 00:00;+01:00;103.69;106.71
2025-02-26 00:00;+01:00;101.85;113.45
2025-02-27 00:00;+01:00;114.75;121.02
2025-02-28 00:00;+01:00;112.22;121.98
2025-03-01 00:00;+01:00;97.34;104.06
2025-03-02 00:00;+01:00;91.24;86.96
2025-03-03 00:00;+01:00;117.73;101.94
2025-03-04 00:00;+01:00;109.15;101.85
2025-03-05 00:00;+01:00;88.06;92.64
2025-03-06 00:00;+01:00;72.19;81.28
2025-03-07 00:00;+01:00;59.84;68.3
2025-03-08 00:00;+01:00;37.1;34.04
2025-03-09 00:00;+01:00;46.51;51.65
2025-03-10 00:00;+01:00;92.99;86.76
2025-03-11 00:00;+01:00;101.12;101.19
2025-03-12 00:00;+01:00;111.51;111.04
2025-03-13 00:00;+01:00;121.68;121.02
2025-03-14 00:00;+01:00;115.78;122.62
2025-03-15 00:00;+01:00;88.64;88.4
2025-03-16 00:00;+01:00;73.13;83.13
2025-03-17 00:00;+01:00;97.41;103.65
2025-03-18 00:00;+01:00;76.4;93.86
2025-03-19 00:00;+01:00;69.09;82.78
2025-03-20 00:00;+01:00;45.76;72.31
2025-03-21 00:00;+01:00;30.67;46.1
2025-03-22 00:00;+01:00;29.59;37.02
2025-03-23 00:00;+01:00;49.38;56.31
2025-03-24 00:00;+01:00;102.97;104.2
2025-03-25 00:00;+01:00;93.22;99.09
2025-03-26 00:00;+01:00;98.88;105.23
2025-03-27 00:00;+01:00;81.12;93.93
2025-03-28 00:00;+01:00;63.51;78.98
2025-03-29 00:00;+01:00;41.19;63.59
2025-03-30 00:00;+01:00;17.31;31.73
2025-03-31 00:00;+02:00;60.25;66.96
