Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Wind Power Production MWh/h 30min Actual;FR Wind Power Production MWh/h 15min Normal;FR Wind Power Production MWh/h 15min Backcast
2025-01-01 00:00;+01:00;14379.35;8788.88;15539.34
2025-01-02 00:00;+01:00;5712.83;8802.05;6096.62
2025-01-03 00:00;+01:00;2924.62;8812.07;3107.63
2025-01-04 00:00;+01:00;5757.02;8821.62;6094.71
2025-01-05 00:00;+01:00;16591.62;8832.6;17762.47
2025-01-06 00:00;+01:00;17302.79;8843.96;17990.89
2025-01-07 00:00;+01:00;11948.19;8853.87;12110.29
2025-01-08 00:00;+01:00;8886.1;8860.51;9267.34
2025-01-09 00:00;+01:00;10291.05;8862.05;10658.81
2025-01-10 00:00;+01:00;3537.64;8856.65;3568.67
2025-01-11 00:00;+01:00;2510.25;8842.5;2559.11
2025-01-12 00:00;+01:00;3672.38;8818.64;3933.54
2025-01-13 00:00;+01:00;4324.72;8787.7;3824.01
2025-01-14 00:00;+01:00;2312.72;8753.21;2199.64
2025-01-15 00:00;+01:00;2965.88;8718.74;2605.37
2025-01-16 00:00;+01:00;3735.6;8687.84;3372.49
2025-01-17 00:00;+01:00;1478.44;8664.06;1381.53
2025-01-18 00:00;+01:00;1649.44;8650.96;1477.39
2025-01-19 00:00;+01:00;1429.62;8650.85;1664.12
2025-01-20 00:00;+01:00;1823;8661.08;2074.76
2025-01-21 00:00;+01:00;3555.15;8677.71;3942.1
2025-01-22 00:00;+01:00;6241.28;8696.76;6050.38
2025-01-23 00:00;+01:00;10353.43;8714.27;10345.67
2025-01-24 00:00;+01:00;14719.61;8726.28;15027.78
2025-01-25 00:00;+01:00;8756.58;8728.83;7578.19
2025-01-26 00:00;+01:00;14645.97;8719.25;14025.13
2025-01-27 00:00;+01:00;17611.96;8700.05;18338.83
2025-01-28 00:00;+01:00;18211.92;8675.15;17755.26
2025-01-29 00:00;+01:00;11333.79;8648.43;11861.58
2025-01-30 00:00;+01:00;5662.46;8623.81;6160.67
2025-01-31 00:00;+01:00;4145.8;8605.2;4206.74
2025-02-01 00:00;+01:00;2937.02;8596.49;3067.03
2025-02-02 00:00;+01:00;1979.86;8600.24;2210.42
2025-02-03 00:00;+01:00;1914.86;8613.57;1845.02
2025-02-04 00:00;+01:00;2895.24;8632.17;3554.4
2025-02-05 00:00;+01:00;2415.14;8651.71;2367.22
2025-02-06 00:00;+01:00;7487.22;8667.85;6534.75
2025-02-07 00:00;+01:00;9652.03;8676.28;9268.32
2025-02-08 00:00;+01:00;5925.99;8672.65;5726.4
2025-02-09 00:00;+01:00;2748.43;8654.12;2725.91
2025-02-10 00:00;+01:00;4734.7;8623.71;4849.76
2025-02-11 00:00;+01:00;3367.74;8585.96;3389.93
2025-02-12 00:00;+01:00;1708.83;8545.46;1832.96
2025-02-13 00:00;+01:00;2216.32;8506.77;2330.1
2025-02-14 00:00;+01:00;4958.65;8474.47;4969.71
2025-02-15 00:00;+01:00;4536.7;8453.13;4526.76
2025-02-16 00:00;+01:00;3937.12;8446;3569.3
2025-02-17 00:00;+01:00;2880.69;8451.01;2920.11
2025-02-18 00:00;+01:00;6458.12;8464.76;6258.4
2025-02-19 00:00;+01:00;6785.96;8483.79;6306.48
2025-02-20 00:00;+01:00;7630.3;8504.67;7454.51
2025-02-21 00:00;+01:00;11449.3;8523.95;10946.31
2025-02-22 00:00;+01:00;7634.56;8538.21;7218.23
2025-02-23 00:00;+01:00;6345.89;8544.66;6647.51
2025-02-24 00:00;+01:00;10344.98;8543.18;10180.01
2025-02-25 00:00;+01:00;8224.5;8534.36;8505.94
2025-02-26 00:00;+01:00;9633.45;8518.74;9784.33
2025-02-27 00:00;+01:00;4904.17;8496.92;4909.08
2025-02-28 00:00;+01:00;4529.04;8469.44;4369.24
2025-03-01 00:00;+01:00;8201.39;8436.9;7212.51
2025-03-02 00:00;+01:00;6145.1;8399.68;5483.84
2025-03-03 00:00;+01:00;2551.42;8357.53;2513.17
2025-03-04 00:00;+01:00;2287.25;8309.98;2442.34
2025-03-05 00:00;+01:00;2568.86;8256.59;2752.06
2025-03-06 00:00;+01:00;7949.04;8196.92;8083.17
2025-03-07 00:00;+01:00;8645.74;8130.51;8679.41
2025-03-08 00:00;+01:00;10162.88;8056.92;10734.01
2025-03-09 00:00;+01:00;5728.02;7975.98;6893.83
2025-03-10 00:00;+01:00;1892.15;7888.71;1929.97
2025-03-11 00:00;+01:00;3390.49;7796.41;3218.84
2025-03-12 00:00;+01:00;2469.64;7700.41;2349.95
2025-03-13 00:00;+01:00;2777.89;7602.01;2985.87
2025-03-14 00:00;+01:00;4027.54;7502.54;3688.88
2025-03-15 00:00;+01:00;10845.92;7403.32;8970.62
2025-03-16 00:00;+01:00;7098.27;7305.87;5819.84
2025-03-17 00:00;+01:00;7430.41;7212.61;6163.76
2025-03-18 00:00;+01:00;9501.39;7126.18;8547.06
2025-03-19 00:00;+01:00;6855.7;7049.22;6971.72
2025-03-20 00:00;+01:00;6219.17;6984.36;7110.45
2025-03-21 00:00;+01:00;9777.76;6934.26;10553.92
2025-03-22 00:00;+01:00;6854.88;6901.55;6764.78
2025-03-23 00:00;+01:00;3561.35;6887.65;3619.93
2025-03-24 00:00;+01:00;1901.72;6889.1;2184.18
2025-03-25 00:00;+01:00;2745.44;6901.18;2972.95
2025-03-26 00:00;+01:00;3028.79;6919.13;3290.42
2025-03-27 00:00;+01:00;2925.47;6938.21;2523.94
2025-03-28 00:00;+01:00;5055.81;6953.68;5322.9
2025-03-29 00:00;+01:00;7480.14;6960.81;7296.75
2025-03-30 00:00;+01:00;5707.37;6945.32;6823.18
2025-03-31 00:00;+02:00;5377.2;6940.89;5054.98
