Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Consumption MWh/h 30min Actual;FR Consumption MWh/h 15min Normal;FR Consumption MWh/h 15min Backcast
2025-03-14 00:00;+01:00;61895.48;56475.85;61568.77
2025-03-15 00:00;+01:00;58711.91;51287.89;57448.83
2025-03-16 00:00;+01:00;57121.85;48977.05;55171.56
2025-03-17 00:00;+01:00;60538.79;55115.21;59490.99
2025-03-18 00:00;+01:00;58661.5;55919.37;59342.44
2025-03-19 00:00;+01:00;55208.11;55839.93;55394.48
2025-03-20 00:00;+01:00;52888.74;55725.81;51946.16
2025-03-21 00:00;+01:00;50943.86;54982.47;49561.09
2025-03-22 00:00;+01:00;45898.68;49945.64;44001.66
2025-03-23 00:00;+01:00;45422.52;47704.38;45946.74
2025-03-24 00:00;+01:00;51311.83;53781.89;52283.02
2025-03-25 00:00;+01:00;52472.83;54587.64;52676.06
2025-03-26 00:00;+01:00;52396.35;54453.36;52432.87
2025-03-27 00:00;+01:00;51814.96;54251.99;52692.85
2025-03-28 00:00;+01:00;51989.57;53472.35;52089.28
2025-03-29 00:00;+01:00;48256.2;48560.83;49954.84
2025-03-30 00:00;+01:00;46052.9;46323.4;47070.72
2025-03-31 00:00;+02:00;49389.41;52147.27;49826.95
