Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Consumption MWh/h 30min Actual;FR Consumption MWh/h 15min Normal;FR Consumption MWh/h 15min Backcast
2025-01-01 00:00;+01:00;58704.27;54065.79;59432.2
2025-01-02 00:00;+01:00;61612.92;58967.35;62541.06
2025-01-03 00:00;+01:00;64733.8;60706.04;65761.6
2025-01-04 00:00;+01:00;64887.52;58099.89;63929.4
2025-01-05 00:00;+01:00;55693.09;57743.24;59572.58
2025-01-06 00:00;+01:00;59181.16;64134.51;61618.57
2025-01-07 00:00;+01:00;63433.67;65065.4;63722.5
2025-01-08 00:00;+01:00;63560.36;65168.85;64089.46
2025-01-09 00:00;+01:00;62524.49;65227.95;63180.57
2025-01-10 00:00;+01:00;65773.76;64666.76;63655.73
2025-01-11 00:00;+01:00;63145.97;59667.9;64898.11
2025-01-12 00:00;+01:00;65592.98;57557.5;63318.72
2025-01-13 00:00;+01:00;73026.73;64006.02;74229.98
2025-01-14 00:00;+01:00;76863.23;64993.4;74924.5
2025-01-15 00:00;+01:00;75390.85;65093.26;75147.1
2025-01-16 00:00;+01:00;71985.38;65182.73;72965.84
2025-01-17 00:00;+01:00;73735.88;64712.27;71427.88
2025-01-18 00:00;+01:00;70830.36;59871.28;67811.85
2025-01-19 00:00;+01:00;68352.4;57846.42;65073.47
2025-01-20 00:00;+01:00;73707.07;64434.71;73029.95
2025-01-21 00:00;+01:00;72802.15;65505.42;73155.3
2025-01-22 00:00;+01:00;67447.65;65655.52;70000.31
2025-01-23 00:00;+01:00;64643.54;65745.32;65593.25
2025-01-24 00:00;+01:00;63973.45;65225.86;62605.76
2025-01-25 00:00;+01:00;55559.77;60345.15;58216.15
2025-01-26 00:00;+01:00;57298.66;58107.4;58142.4
2025-01-27 00:00;+01:00;59914.9;64598.25;62109.01
2025-01-28 00:00;+01:00;62072.21;65586.33;61096.56
2025-01-29 00:00;+01:00;62502.96;65627.68;63314.77
2025-01-30 00:00;+01:00;62740.2;65620.24;63384.08
2025-01-31 00:00;+01:00;65399.01;65039.65;64550.52
2025-02-01 00:00;+01:00;61682.57;60143.88;63669.36
2025-02-02 00:00;+01:00;62028.5;57794.36;63497.12
2025-02-03 00:00;+01:00;68917.4;64176.27;67790.04
2025-02-04 00:00;+01:00;69897.66;65043.57;69333.94
2025-02-05 00:00;+01:00;68168.54;65012.32;68827.89
2025-02-06 00:00;+01:00;68261.54;64965.89;68443.28
2025-02-07 00:00;+01:00;68441.83;64322.11;67791.49
2025-02-08 00:00;+01:00;62098.71;59360.56;60822.93
2025-02-09 00:00;+01:00;59802.02;56961.2;59735.85
2025-02-10 00:00;+01:00;64570.47;63333.11;65330.72
2025-02-11 00:00;+01:00;64927.79;64201.81;64367.89
2025-02-12 00:00;+01:00;63640.05;64176.9;63800.98
2025-02-13 00:00;+01:00;63079.93;64122.72;63518.8
2025-02-14 00:00;+01:00;63717.72;63470.49;65359.19
2025-02-15 00:00;+01:00;61386.49;58497.18;62940.77
2025-02-16 00:00;+01:00;59066.34;56072.05;61510.27
2025-02-17 00:00;+01:00;64247.98;62397.67;64548.59
2025-02-18 00:00;+01:00;64254.55;63177.52;64590.35
2025-02-19 00:00;+01:00;62197.31;63072.31;61732.79
2025-02-20 00:00;+01:00;58017.27;62977.81;58504.38
2025-02-21 00:00;+01:00;55033.77;62274.82;54729.47
2025-02-22 00:00;+01:00;49962.38;57213.16;49816.98
2025-02-23 00:00;+01:00;49399.21;54763.13;49416.18
2025-02-24 00:00;+01:00;54893.76;61061.08;55270.59
2025-02-25 00:00;+01:00;56636.32;61859.35;56881.19
2025-02-26 00:00;+01:00;59118.67;61764.05;59117.05
2025-02-27 00:00;+01:00;59905.48;61629.88;60378.16
2025-02-28 00:00;+01:00;60197.75;60884.77;60684.11
2025-03-01 00:00;+01:00;57095.3;55744.82;58863.51
2025-03-02 00:00;+01:00;54814.86;53238.64;56353.01
2025-03-03 00:00;+01:00;59994.74;59423.42;59354.06
2025-03-04 00:00;+01:00;58942.65;60133.17;59462.64
2025-03-05 00:00;+01:00;57258.64;59963.23;57288.46
2025-03-06 00:00;+01:00;54549.74;59755.77;55604.19
2025-03-07 00:00;+01:00;52218.85;58895.64;51936.62
2025-03-08 00:00;+01:00;46739.51;53612.6;46511.48
2025-03-09 00:00;+01:00;45993.25;51094.02;44696.19
2025-03-10 00:00;+01:00;51809.48;57168.64;50438.92
2025-03-11 00:00;+01:00;54206.96;57840.62;54838.58
2025-03-12 00:00;+01:00;57709.12;57618.49;56886.18
2025-03-13 00:00;+01:00;60027.32;57350.37;60294.02
