Data exported from Energy Quantified
https://energyquantified.com


;;;;;;2025-04-01 00:00;2025-03-31 00:00;2025-03-30 00:00
Date;TZ;FR Hydro Run-of-river Production MWh/h 30min Actual;FR Hydro Run-of-river Production MWh/h 15min Normal;FR Hydro Run-of-river Production MWh/h 15min Backcast;FR Hydro Run-of-river Capacity Available MW REMIT;FR Hydro Run-of-river Production MWh/h 15min Forecast;FR Hydro Run-of-river Production MWh/h 15min Forecast;FR Hydro Run-of-river Production MWh/h 15min Forecast
2025-03-18 00:00;+01:00;4309.53;5654.33;4535.31;4826.93;;;
2025-03-19 00:00;+01:00;4278.29;5649.82;4285.87;4801.12;;;
2025-03-20 00:00;+01:00;4082.34;5645.21;4300.78;4736.73;;;
2025-03-21 00:00;+01:00;3883.23;5641.11;4169.92;4863.21;;;
2025-03-22 00:00;+01:00;4088.17;5633.89;3653.31;5015;;;
2025-03-23 00:00;+01:00;4246.25;5610.34;4017.69;5015;;;
2025-03-24 00:00;+01:00;4724.39;5583.52;4816.09;4898.04;;;
2025-03-25 00:00;+01:00;4669.31;5557.13;4677.76;4838.08;;;
2025-03-26 00:00;+01:00;4532.5;5530.55;4595.18;4818.41;;;
2025-03-27 00:00;+01:00;4594.3;5504.14;4463.27;4813.38;;;
2025-03-28 00:00;+01:00;4075.16;5477.61;4513.59;4849.04;;;
2025-03-29 00:00;+01:00;3806.64;5451.67;3681.27;4908;;;
2025-03-30 00:00;+01:00;3460.63;5429.16;3673.49;4908;;;3699.23
2025-03-31 00:00;+02:00;3845.74;5409.02;4041.52;4865.79;;4082.51;4032.31
