Data exported from Energy Quantified
https://energyquantified.com


;;;;;;2024-03-31 00:00;2024-03-30 00:00;2024-03-29 00:00
Date;TZ;FR Hydro Run-of-river Production MWh/h 30min Actual;FR Hydro Run-of-river Production MWh/h 15min Normal;FR Hydro Run-of-river Production MWh/h 15min Backcast;FR Hydro Run-of-river Capacity Available MW REMIT;FR Hydro Run-of-river Production MWh/h 15min Forecast;FR Hydro Run-of-river Production MWh/h 15min Forecast;FR Hydro Run-of-river Production MWh/h 15min Forecast
2024-03-17 00:00;+01:00;5593.64;5658.92;5611.28;5101.67;;;
2024-03-18 00:00;+01:00;6122.68;5654.33;5956.48;4969.79;;;
2024-03-19 00:00;+01:00;6231.06;5649.82;6125.61;4836.59;;;
2024-03-20 00:00;+01:00;6309.71;5645.21;6201.74;4849.68;;;
2024-03-21 00:00;+01:00;6307.86;5641.11;6296.02;4991.57;;;
2024-03-22 00:00;+01:00;6309.34;5633.89;6292.95;5079.75;;;
2024-03-23 00:00;+01:00;5588.94;5610.34;6265.4;5199;;;
2024-03-24 00:00;+01:00;5401.01;5583.52;5454.47;5199;;;
2024-03-25 00:00;+01:00;5717.07;5557.13;5708.89;5158.52;;;
2024-03-26 00:00;+01:00;5648.64;5530.55;5690.14;5067.62;;;
2024-03-27 00:00;+01:00;6114.93;5504.14;5659.88;5113.38;;;
2024-03-28 00:00;+01:00;6050.01;5477.61;6092.63;5147.25;;;
2024-03-29 00:00;+01:00;6262.47;5451.67;6089.73;5193.04;;;6112.53
2024-03-30 00:00;+01:00;6546.79;5429.52;6231.34;5200;;6246.94;6112.05
2024-03-31 00:00;+01:00;5962.47;5408.68;6425.13;5200;6445.39;6217.24;6079.9
