Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Exchange Day-Ahead Schedule Net Export MWh/h H Actual;FR Exchange Day-Ahead Schedule Net Export MWh/h H Synthetic;FR Exchange Day-Ahead Schedule Net Export MWh/h H Backcast
2024-01-01 00:00;+01:00;10174.08;10174.08;14065.8
2024-01-02 00:00;+01:00;16979.16;16979.16;15127.81
2024-01-03 00:00;+01:00;17280.33;17280.33;15804.01
2024-01-04 00:00;+01:00;17367;17367;13221.33
2024-01-05 00:00;+01:00;11318.74;11318.74;5704.71
2024-01-06 00:00;+01:00;10885.58;10885.58;8304.54
2024-01-07 00:00;+01:00;11107.57;11107.57;10318.93
2024-01-08 00:00;+01:00;6054.11;6054.11;4703.18
2024-01-09 00:00;+01:00;1258.99;1258.99;2824.44
2024-01-10 00:00;+01:00;-1125.52;-1125.52;1727.66
2024-01-11 00:00;+01:00;3086.04;3086.04;3401.67
2024-01-12 00:00;+01:00;1370.19;1370.19;1279.77
2024-01-13 00:00;+01:00;1069.7;1069.7;4598.46
2024-01-14 00:00;+01:00;-922.44;-922.44;5032.93
2024-01-15 00:00;+01:00;564.74;564.74;-258.67
2024-01-16 00:00;+01:00;-102.28;-102.28;3535.54
2024-01-17 00:00;+01:00;9389.82;9389.82;10200.17
2024-01-18 00:00;+01:00;9162.61;9162.61;9287.2
2024-01-19 00:00;+01:00;-842.67;-842.67;1403.49
2024-01-20 00:00;+01:00;1342.87;1342.87;346.68
2024-01-21 00:00;+01:00;7885.36;7885.36;8487.15
2024-01-22 00:00;+01:00;9940.44;9940.44;12231.65
2024-01-23 00:00;+01:00;9643.17;9643.17;11432.97
2024-01-24 00:00;+01:00;11110.07;11110.07;11889.87
2024-01-25 00:00;+01:00;12318.65;12318.65;12657.27
2024-01-26 00:00;+01:00;11538.53;11538.53;11547.86
2024-01-27 00:00;+01:00;9859.87;9859.87;8228.01
2024-01-28 00:00;+01:00;12823.3;12823.3;11072.76
2024-01-29 00:00;+01:00;13325.09;13325.09;13800.74
2024-01-30 00:00;+01:00;12127.15;12127.15;12756.46
2024-01-31 00:00;+01:00;8740.36;8740.36;9612.8
2024-02-01 00:00;+01:00;8987.42;8987.42;8817.99
2024-02-02 00:00;+01:00;7433.87;7433.87;10044.86
2024-02-03 00:00;+01:00;6954.86;6954.86;8335.04
2024-02-04 00:00;+01:00;6913.27;6913.27;9272.14
2024-02-05 00:00;+01:00;5316.86;5316.86;9194.14
2024-02-06 00:00;+01:00;8309.63;8309.63;10647.3
2024-02-07 00:00;+01:00;13307.82;13307.82;14084.4
2024-02-08 00:00;+01:00;12185.74;12185.74;14325.87
2024-02-09 00:00;+01:00;13110.14;13110.14;15204.88
2024-02-10 00:00;+01:00;10804.34;10804.34;10766.43
2024-02-11 00:00;+01:00;12468;12468;12059.47
2024-02-12 00:00;+01:00;5949.89;5949.89;5530.07
2024-02-13 00:00;+01:00;8102.25;8102.25;6977.82
2024-02-14 00:00;+01:00;12063.43;12063.43;11467.48
2024-02-15 00:00;+01:00;12634.24;12634.24;13871.29
2024-02-16 00:00;+01:00;12598.97;12598.97;14734.83
2024-02-17 00:00;+01:00;10977.45;10977.45;11942.21
2024-02-18 00:00;+01:00;13679.28;13679.28;15943.02
2024-02-19 00:00;+01:00;11675.05;11675.05;12331.95
2024-02-20 00:00;+01:00;10115.1;10115.1;10097.22
2024-02-21 00:00;+01:00;11833.46;11833.46;11860.52
2024-02-22 00:00;+01:00;14313.28;14313.28;13907.2
2024-02-23 00:00;+01:00;10041.36;10041.36;9454.12
2024-02-24 00:00;+01:00;10013.82;10013.82;9327.51
2024-02-25 00:00;+01:00;9318.97;9318.97;10984.18
2024-02-26 00:00;+01:00;9418.78;9418.78;10150.76
2024-02-27 00:00;+01:00;9655.19;9655.19;10979.18
2024-02-28 00:00;+01:00;8068.84;8068.84;6442.94
2024-02-29 00:00;+01:00;8380.05;8380.05;7148.08
2024-03-01 00:00;+01:00;11797.93;11797.93;10996.09
2024-03-02 00:00;+01:00;9538.61;9538.61;11085.98
2024-03-03 00:00;+01:00;6310.07;6310.07;8592.6
2024-03-04 00:00;+01:00;6285.04;6285.04;8208.11
2024-03-05 00:00;+01:00;7359.93;7359.93;291.41
2024-03-06 00:00;+01:00;6128.83;6128.83;5674.36
2024-03-07 00:00;+01:00;11189.57;11189.57;9969.89
2024-03-08 00:00;+01:00;9188.34;9188.34;9248.67
2024-03-09 00:00;+01:00;8975.99;8975.99;9794.99
2024-03-10 00:00;+01:00;5395.99;5395.99;5452.86
2024-03-11 00:00;+01:00;8003.13;8003.13;8894.84
2024-03-12 00:00;+01:00;10683.01;10683.01;12588.7
2024-03-13 00:00;+01:00;9624.09;9624.09;11287.93
2024-03-14 00:00;+01:00;12118.18;12118.18;11751.74
2024-03-15 00:00;+01:00;13783.99;13783.99;14182.9
2024-03-16 00:00;+01:00;12913.01;12913.01;12152.69
2024-03-17 00:00;+01:00;14019.63;14019.63;12493.51
2024-03-18 00:00;+01:00;12277.33;12277.33;11753.77
2024-03-19 00:00;+01:00;10436.58;10436.58;10465.03
2024-03-20 00:00;+01:00;9360.46;9360.46;10056.36
2024-03-21 00:00;+01:00;10514.66;10514.66;9715.52
2024-03-22 00:00;+01:00;11840.09;11840.09;9919.15
2024-03-23 00:00;+01:00;8601.38;8601.38;12393.71
2024-03-24 00:00;+01:00;5452.82;5452.82;7169.64
2024-03-25 00:00;+01:00;8471.41;8471.41;10079.63
2024-03-26 00:00;+01:00;7475.91;7475.91;7453.27
2024-03-27 00:00;+01:00;11051.98;11051.98;10778.02
2024-03-28 00:00;+01:00;11521.65;11521.65;11519.67
2024-03-29 00:00;+01:00;9142.86;9142.86;9165.67
2024-03-30 00:00;+01:00;9376.73;9376.73;9945.11
2024-03-31 00:00;+01:00;8745.49;8745.49;11199.33
