Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Hard Coal Power Production MWh/h 30min Actual;FR Hard Coal Power Capacity Available MW REMIT
2024-01-01 00:00;+01:00;15.35;1755
2024-01-02 00:00;+01:00;15.46;1755
2024-01-03 00:00;+01:00;15.44;1755
2024-01-04 00:00;+01:00;14.75;1755
2024-01-05 00:00;+01:00;14.82;1755
2024-01-06 00:00;+01:00;11.85;1755
2024-01-07 00:00;+01:00;14.45;1755
2024-01-08 00:00;+01:00;14;1221.98
2024-01-09 00:00;+01:00;189.4;1343.91
2024-01-10 00:00;+01:00;33.18;1160
2024-01-11 00:00;+01:00;289.21;1180.45
2024-01-12 00:00;+01:00;656.72;1380.72
2024-01-13 00:00;+01:00;375.98;1648.75
2024-01-14 00:00;+01:00;22.48;1618.86
2024-01-15 00:00;+01:00;338.56;1680.26
2024-01-16 00:00;+01:00;473.47;1755
2024-01-17 00:00;+01:00;363.61;1646.51
2024-01-18 00:00;+01:00;11.85;1575.26
2024-01-19 00:00;+01:00;9.08;1755
2024-01-20 00:00;+01:00;14.06;1755
2024-01-21 00:00;+01:00;10.57;1755
2024-01-22 00:00;+01:00;6.9;1286.17
2024-01-23 00:00;+01:00;20.32;1218.82
2024-01-24 00:00;+01:00;384.7;1695
2024-01-25 00:00;+01:00;367.53;1695
2024-01-26 00:00;+01:00;236.4;1720
2024-01-27 00:00;+01:00;14.53;1755
2024-01-28 00:00;+01:00;13.71;1755
2024-01-29 00:00;+01:00;330.55;1755
2024-01-30 00:00;+01:00;366.55;1755
2024-01-31 00:00;+01:00;368.58;1755
2024-02-01 00:00;+01:00;387.67;1715.83
2024-02-02 00:00;+01:00;10.73;1755
2024-02-03 00:00;+01:00;14.55;1755
2024-02-04 00:00;+01:00;6.25;1755
2024-02-05 00:00;+01:00;0;1755
2024-02-06 00:00;+01:00;0;1755
2024-02-07 00:00;+01:00;0;1755
2024-02-08 00:00;+01:00;0;1755
2024-02-09 00:00;+01:00;0;1755
2024-02-10 00:00;+01:00;0;1755
2024-02-11 00:00;+01:00;0;1755
2024-02-12 00:00;+01:00;337.08;1383.12
2024-02-13 00:00;+01:00;519.98;1385.03
2024-02-14 00:00;+01:00;383.34;1755
2024-02-15 00:00;+01:00;317.68;1755
2024-02-16 00:00;+01:00;0;1755
2024-02-17 00:00;+01:00;0;1755
2024-02-18 00:00;+01:00;0;1755
2024-02-19 00:00;+01:00;293.41;1755
2024-02-20 00:00;+01:00;345.55;1755
2024-02-21 00:00;+01:00;321.4;1705
2024-02-22 00:00;+01:00;0;1755
2024-02-23 00:00;+01:00;0;1755
2024-02-24 00:00;+01:00;0;1755
2024-02-25 00:00;+01:00;0;1755
2024-02-26 00:00;+01:00;34.5;1676.86
2024-02-27 00:00;+01:00;440.96;1755
2024-02-28 00:00;+01:00;439.39;1755
2024-02-29 00:00;+01:00;467.85;1755
2024-03-01 00:00;+01:00;274.26;1589.92
2024-03-02 00:00;+01:00;0;1755
2024-03-03 00:00;+01:00;0;1755
2024-03-04 00:00;+01:00;0;1755
2024-03-05 00:00;+01:00;0;1755
2024-03-06 00:00;+01:00;0;1755
2024-03-07 00:00;+01:00;0;1755
2024-03-08 00:00;+01:00;0;1755
2024-03-09 00:00;+01:00;0;1755
2024-03-10 00:00;+01:00;0;1755
2024-03-11 00:00;+01:00;0;1755
2024-03-12 00:00;+01:00;0;1755
2024-03-13 00:00;+01:00;0;1755
2024-03-14 00:00;+01:00;0;1755
2024-03-15 00:00;+01:00;0;1755
2024-03-16 00:00;+01:00;0;595
2024-03-17 00:00;+01:00;0;595
2024-03-18 00:00;+01:00;0;595
2024-03-19 00:00;+01:00;0;595
2024-03-20 00:00;+01:00;0;1755
2024-03-21 00:00;+01:00;0;1755
2024-03-22 00:00;+01:00;0;1755
2024-03-23 00:00;+01:00;0;1755
2024-03-24 00:00;+01:00;0;1755
2024-03-25 00:00;+01:00;0;1755
2024-03-26 00:00;+01:00;0;1755
2024-03-27 00:00;+01:00;0;1755
2024-03-28 00:00;+01:00;0;1755
2024-03-29 00:00;+01:00;0;1755
2024-03-30 00:00;+01:00;0;1755
2024-03-31 00:00;+01:00;0;1755
