Data exported from Energy Quantified
https://energyquantified.com


Date;TZ;FR Consumption Temperature °C H Actual;FR Consumption Temperature °C 15min Synthetic;FR Consumption Temperature °C 15min Normal
2024-01-01 00:00;+01:00;7.95;7.46;5.29
2024-01-02 00:00;+01:00;10.06;9.72;5.27
2024-01-03 00:00;+01:00;10.76;9.86;5.27
2024-01-04 00:00;+01:00;9.71;8.84;5.28
2024-01-05 00:00;+01:00;7.51;6.8;5.3
2024-01-06 00:00;+01:00;5.77;5;5.34
2024-01-07 00:00;+01:00;4.01;3.59;5.38
2024-01-08 00:00;+01:00;0.82;0.16;5.43
2024-01-09 00:00;+01:00;-0.67;-0.84;5.47
2024-01-10 00:00;+01:00;-0.06;-0.35;5.5
2024-01-11 00:00;+01:00;1.04;0.62;5.52
2024-01-12 00:00;+01:00;1.52;1.26;5.53
2024-01-13 00:00;+01:00;-0.18;-0.01;5.51
2024-01-14 00:00;+01:00;0.64;0.8;5.48
2024-01-15 00:00;+01:00;3.48;2.67;5.44
2024-01-16 00:00;+01:00;1.95;1.65;5.39
2024-01-17 00:00;+01:00;6.14;6.18;5.33
2024-01-18 00:00;+01:00;4.45;4.06;5.27
2024-01-19 00:00;+01:00;0.32;-0.18;5.2
2024-01-20 00:00;+01:00;-0.55;-1.28;5.13
2024-01-21 00:00;+01:00;4.43;4.64;5.06
2024-01-22 00:00;+01:00;9.14;8.45;5
2024-01-23 00:00;+01:00;9.78;8.77;4.94
2024-01-24 00:00;+01:00;11.99;10.79;4.89
2024-01-25 00:00;+01:00;10.55;9.91;4.85
2024-01-26 00:00;+01:00;9.61;8.89;4.82
2024-01-27 00:00;+01:00;5.62;5.06;4.8
2024-01-28 00:00;+01:00;6.78;6.82;4.8
2024-01-29 00:00;+01:00;9.5;8.92;4.81
2024-01-30 00:00;+01:00;9.26;8.64;4.82
2024-01-31 00:00;+01:00;7.77;7.15;4.84
2024-02-01 00:00;+01:00;9.03;8.41;4.86
2024-02-02 00:00;+01:00;8;7.6;4.89
2024-02-03 00:00;+01:00;8.23;8.14;4.93
2024-02-04 00:00;+01:00;8.31;8.14;4.97
2024-02-05 00:00;+01:00;7.59;7.25;5.01
2024-02-06 00:00;+01:00;8.76;8.23;5.06
2024-02-07 00:00;+01:00;10.45;9.64;5.11
2024-02-08 00:00;+01:00;11.8;11.36;5.16
2024-02-09 00:00;+01:00;11.65;11.08;5.22
2024-02-10 00:00;+01:00;9.14;8.64;5.28
2024-02-11 00:00;+01:00;8.57;7.94;5.34
2024-02-12 00:00;+01:00;7.48;6.57;5.4
2024-02-13 00:00;+01:00;7.8;7.17;5.47
2024-02-14 00:00;+01:00;11.54;10.67;5.53
2024-02-15 00:00;+01:00;12.83;11.99;5.6
2024-02-16 00:00;+01:00;12.11;11.19;5.66
2024-02-17 00:00;+01:00;10.52;9.59;5.73
2024-02-18 00:00;+01:00;9.74;9.37;5.79
2024-02-19 00:00;+01:00;10.39;10.03;5.86
2024-02-20 00:00;+01:00;8.95;8.56;5.92
2024-02-21 00:00;+01:00;9.33;8.86;5.99
2024-02-22 00:00;+01:00;10.61;10.29;6.06
2024-02-23 00:00;+01:00;6.68;6.11;6.14
2024-02-24 00:00;+01:00;6;5.31;6.22
2024-02-25 00:00;+01:00;7.29;6.72;6.3
2024-02-26 00:00;+01:00;8.4;7.69;6.39
2024-02-27 00:00;+01:00;7.15;6.78;6.49
2024-02-28 00:00;+01:00;7.39;6.99;6.6
2024-02-29 00:00;+01:00;8.67;8.35;6.71
2024-03-01 00:00;+01:00;8.05;7.58;6.84
2024-03-02 00:00;+01:00;7.94;7.62;6.97
2024-03-03 00:00;+01:00;6.54;5.91;7.11
2024-03-04 00:00;+01:00;6.79;6.04;7.25
2024-03-05 00:00;+01:00;7.46;6.79;7.4
2024-03-06 00:00;+01:00;7.21;6.29;7.55
2024-03-07 00:00;+01:00;7.91;7.22;7.7
2024-03-08 00:00;+01:00;8.38;8.03;7.85
2024-03-09 00:00;+01:00;9.15;8.73;8
2024-03-10 00:00;+01:00;8.12;7.56;8.15
2024-03-11 00:00;+01:00;8.33;7.5;8.29
2024-03-12 00:00;+01:00;9.81;9.11;8.42
2024-03-13 00:00;+01:00;11.41;10.59;8.54
2024-03-14 00:00;+01:00;12.03;11.23;8.66
2024-03-15 00:00;+01:00;13.05;12.09;8.77
2024-03-16 00:00;+01:00;12.52;11.55;8.86
2024-03-17 00:00;+01:00;12.64;11.84;8.94
2024-03-18 00:00;+01:00;13.26;12.26;9.02
2024-03-19 00:00;+01:00;12.6;11.36;9.09
2024-03-20 00:00;+01:00;13.22;12.18;9.15
2024-03-21 00:00;+01:00;13.86;12.66;9.21
2024-03-22 00:00;+01:00;13.3;12.17;9.26
2024-03-23 00:00;+01:00;9.34;8.81;9.31
2024-03-24 00:00;+01:00;8.5;7.7;9.36
2024-03-25 00:00;+01:00;8.74;8.16;9.4
2024-03-26 00:00;+01:00;9.26;8.92;9.45
2024-03-27 00:00;+01:00;8.41;7.81;9.5
2024-03-28 00:00;+01:00;9.98;9.44;9.56
2024-03-29 00:00;+01:00;11.88;11.43;9.62
2024-03-30 00:00;+01:00;10.35;10.03;9.69
2024-03-31 00:00;+01:00;10.97;10.34;9.82
